age,avg_order_value,total_orders,last_purchase,is_fraudulent,email_open_rate,loyalty_score,churn_risk,tenure_days,gender_encoded,country_encoded,category_encoded
52,84.6,17,26,0,80.8,20,0.25,646,2,3,2
72,111.68,13,360,0,20.4,43,0.07,1749,2,0,1
31,178.26,13,355,0,59.4,57,0.45,1786,1,0,1
66,97.41,14,237,0,21.6,65,0.46,1777,1,9,1
36,111.72,6,174,0,73.4,60,0.33,670,1,7,3
55,130.26,8,315,0,42.1,99,0.04,1522,0,7,2
53,194.44,14,291,0,82.3,43,0.3,708,2,0,3
24,131.13,13,60,0,94.9,84,0.12,1162,0,9,2
47,54.59,11,169,0,55.5,65,0.39,1146,1,2,4
36,123.09,6,262,0,90.1,46,0.29,1129,2,2,0
66,54.37,10,305,0,3.4,62,0.21,309,1,4,3
42,150.63,18,115,0,46.3,70,0.43,264,1,6,4
33,156.42,9,174,0,50.3,26,0.36,1417,1,5,1
64,37.09,9,220,0,41.6,29,0.08,1455,1,8,4
71,49.42,8,127,0,31.5,41,0.64,126,0,9,0
57,237.22,11,4,0,72.3,15,0.21,1497,1,2,0
68,76.59,13,325,0,50.95,19,0.15,1300,0,3,0
25,120.73,4,185,0,8.2,73,0.08,454,0,5,4
35,219.17,8,171,0,95.1,59,0.2,1159,0,5,1
45,76.65,9,198,0,88.8,81,0.27,444,0,5,3
33,97.19,7,230,0,35.3,96,0.1,998,1,0,1
69,19.7,6,287,0,24.6,28,0.12,209,0,4,2
36,92.98,7,334,0,62.8,15,0.04,1794,2,3,2
59,60.96,4,114,0,4.3,58,0.33,337,1,6,3
34,61.71,9,332,0,49.6,53,0.13,902,0,3,0
62,134.0,12,329,0,67.3,42,0.44,912,1,3,3
30,204.04,6,312,0,50.95,28,0.21,1600,1,9,4
24,62.08,9,10,0,97.2,73,0.41,606,0,4,0
44,130.01,9,103,0,71.9,91,0.29,1514,0,1,3
27,23.25,13,174,0,93.4,19,0.59,392,1,4,3
51,26.76,8,119,0,90.8,71,0.2,1054,0,1,4
53,158.27,9,236,0,50.95,89,0.19,605,0,6,4
42,41.29,12,235,0,66.9,94,0.22,632,2,9,1
23,68.94,21,304,0,59.7,77,0.17,510,1,0,2
41,49.73,5,37,0,5.5,2,0.11,1082,2,5,3
35,55.27,15,271,0,31.8,18,0.12,1113,1,9,1
40,134.3,5,343,0,53.5,40,0.28,129,0,0,0
23,98.85,13,250,0,54.8,53,0.12,35,1,9,0
46,315.61,9,333,0,81.4,8,0.47,780,1,0,2
79,133.8,10,26,0,58.8,84,0.22,391,0,9,0
42,78.32,5,329,0,46.7,9,0.47,239,1,4,2
72,98.36,12,122,0,75.2,77,0.36,702,1,4,0
34,86.75,15,155,0,57.1,21,0.12,1093,1,4,0
63,208.18,7,216,0,88.4,92,0.4,1667,0,5,3
41,54.39,10,193,0,90.5,44,0.14,1419,1,8,4
28,76.64,11,300,0,60.4,60,0.03,1759,0,7,3
43,173.31,13,160,0,56.4,71,0.22,1136,1,1,1
68,41.0,7,127,0,70.1,31,0.53,1196,1,4,4
79,28.69,14,315,0,72.6,87,0.2,535,1,8,3
51,76.18,12,177,0,72.7,13,0.19,469,0,1,4
45,88.83,6,125,0,62.1,45,0.33,589,1,9,4
20,69.65,6,173,0,76.3,2,0.12,499,1,6,4
28,28.98,8,34,0,14.4,34,0.56,185,2,0,0
55,97.97,15,238,0,82.1,69,0.06,1803,0,8,4
78,40.32,10,40,0,31.0,66,0.24,1398,1,3,0
31,54.71,10,185,0,88.6,62,0.25,888,1,2,4
68,35.44,11,182,0,13.2,47,0.09,1356,0,8,0
43,36.02,10,260,0,0.4,98,0.09,280,1,4,4
65,87.56,9,33,0,1.6,2,0.13,1085,1,4,1
38,128.87,7,186,0,21.0,84,0.22,1107,0,8,3
71,77.64,8,306,0,11.4,72,0.6,789,0,0,4
73,35.36,13,136,0,55.4,87,0.27,604,0,1,1
56,42.61,17,201,1,44.8,37,0.2,827,1,9,3
47,32.83,8,142,0,60.6,80,0.37,395,1,2,2
76,52.2,11,108,0,19.3,86,0.31,412,0,9,4
25,50.74,13,156,0,75.4,63,0.1,1492,1,5,2
68,93.19,11,254,0,61.0,56,0.17,535,0,0,3
37,98.89,11,180,0,22.1,46,0.18,1539,0,4,3
65,230.71,8,340,0,39.9,63,0.45,545,1,5,4
49,61.83,6,218,0,71.8,8,0.29,1193,2,9,1
39,53.62,9,27,0,68.0,55,0.19,480,0,9,4
76,83.46,15,150,0,56.2,43,0.18,92,0,2,1
24,97.4,7,358,0,97.9,90,0.41,1740,1,7,4
26,54.65,9,99,0,13.2,23,0.32,1683,1,9,1
62,134.02,7,2,1,48.8,16,0.16,1181,0,1,0
18,126.84,13,32,0,62.4,85,0.11,295,1,1,1
46,148.06,8,198,0,99.4,52,0.17,1202,2,8,1
25,96.92,12,68,0,54.3,93,0.25,735,1,2,3
73,55.76,6,89,0,44.2,54,0.22,1517,0,2,2
71,42.79,12,16,0,92.2,84,0.39,1458,1,4,4
21,71.68,9,336,0,50.6,76,0.15,1302,0,9,3
52,156.2,9,322,0,93.9,37,0.34,958,1,7,2
76,36.58,8,322,0,75.0,90,0.01,1195,1,3,3
20,81.56,9,33,0,16.8,67,0.28,1192,1,5,3
71,228.73,10,263,0,50.95,18,0.17,1634,0,2,4
62,93.19,7,300,0,31.8,59,0.13,1412,1,8,0
57,33.63,13,59,0,6.8,1,0.55,260,2,8,3
24,159.51,6,183,0,54.3,19,0.28,401,0,9,4
44,124.35,10,325,0,86.0,13,0.74,299,1,9,1
18,218.18,9,356,0,40.0,33,0.16,1686,0,3,2
44,153.58,10,364,0,64.8,94,0.51,1589,1,6,4
33,93.19,8,198,0,98.1,22,0.13,274,2,6,0
55,53.22,10,240,0,19.4,27,0.29,220,0,9,4
24,82.14,10,231,0,35.8,50,0.05,63,1,0,4
61,168.89,8,210,0,2.5,77,0.26,445,1,1,1
40,105.91,11,51,0,23.2,72,0.35,1057,1,1,2
58,211.42,10,118,0,77.9,53,0.09,122,2,3,2
76,49.17,5,329,0,65.7,60,0.36,1749,1,3,0
28,222.22,15,214,0,78.4,50,0.49,1214,0,4,2
59,55.13,9,321,0,42.5,66,0.24,1830,1,7,1
70,130.45,9,148,0,73.6,83,0.18,557,2,8,0
50,102.11,6,175,0,60.0,24,0.29,352,1,1,1
67,102.28,15,268,0,32.8,69,0.33,332,0,0,1
53,122.19,10,319,0,41.2,8,0.26,187,0,9,4
54,15.61,11,4,0,54.1,20,0.2,215,0,2,4
58,85.36,11,115,0,95.6,99,0.13,989,1,0,4
76,55.0,8,202,0,50.95,66,0.16,166,1,4,3
34,89.23,9,36,0,50.95,70,0.26,1742,1,0,1
52,102.0,14,53,0,50.95,59,0.27,240,0,2,2
65,152.84,16,287,0,71.7,80,0.29,478,1,5,0
22,31.65,5,283,0,89.5,47,0.07,94,0,6,3
65,93.19,8,85,0,73.9,36,0.17,241,1,5,4
49,31.75,8,44,0,41.6,2,0.16,1327,0,8,3
20,148.5,7,283,0,72.5,64,0.52,1428,2,8,3
69,42.89,14,320,0,44.4,78,0.2,1162,0,1,1
64,84.23,8,69,0,71.4,38,0.48,1418,1,2,1
79,58.17,9,41,0,78.0,26,0.28,310,1,8,2
52,27.6,10,271,0,84.3,20,0.17,932,1,3,0
69,145.31,2,140,0,72.8,93,0.49,231,1,1,0
31,98.73,12,58,0,16.0,4,0.23,645,0,4,4
65,111.09,17,239,0,93.6,84,0.3,38,0,1,2
78,52.81,12,46,0,21.3,88,0.39,1232,2,5,0
78,75.55,11,166,0,35.8,65,0.25,510,1,9,3
48,96.48,16,109,0,42.9,89,0.16,368,0,3,3
48,28.12,12,125,0,71.2,14,0.32,1572,0,3,0
34,27.66,14,298,0,70.1,35,0.34,1203,0,7,3
77,126.31,15,108,0,96.2,85,0.08,1606,1,3,3
41,16.18,7,164,0,18.9,52,0.48,712,0,3,4
69,112.24,8,258,0,50.95,23,0.29,1400,0,5,3
40,19.14,18,75,0,20.4,20,0.21,559,0,0,0
35,131.7,14,6,0,67.3,90,0.38,1198,2,3,1
67,109.97,8,185,0,50.95,27,0.43,537,1,9,3
71,31.8,11,275,0,86.8,41,0.08,1003,1,6,0
31,96.67,15,78,0,98.3,78,0.06,654,0,5,3
67,93.19,7,64,0,50.95,36,0.6,813,0,5,2
32,56.13,7,114,0,73.9,4,0.06,915,1,0,4
32,66.49,17,201,0,53.3,26,0.08,467,0,7,1
23,61.8,10,141,0,35.9,40,0.28,1730,2,0,3
44,52.83,14,97,0,19.1,80,0.14,1064,2,1,0
32,131.28,5,304,0,71.9,84,0.47,286,1,6,1
67,131.12,10,216,0,15.9,88,0.18,179,0,8,3
53,32.96,12,73,0,28.1,74,0.31,1081,0,4,2
72,190.31,7,292,0,92.0,66,0.4,1065,0,8,0
25,80.75,9,133,0,50.8,73,0.17,1650,0,7,4
32,114.79,11,261,1,85.4,82,0.15,941,0,7,3
20,322.28,14,283,0,76.8,94,0.37,1493,0,3,0
79,77.2,15,101,0,37.6,3,0.05,826,1,0,3
64,93.19,5,205,0,21.8,64,0.27,1366,0,1,4
30,66.97,12,140,0,10.0,29,0.13,343,0,3,2
58,30.4,14,12,0,96.1,54,0.43,1013,1,2,4
51,93.19,10,248,0,32.5,7,0.35,689,2,1,4
41,62.79,8,122,0,67.3,25,0.47,998,0,7,4
57,14.19,9,9,1,73.0,24,0.22,1610,0,7,1
49,47.73,15,79,0,19.8,43,0.4,1198,1,5,0
78,37.92,16,166,0,69.4,6,0.33,202,0,2,3
49,60.03,9,98,0,0.9,15,0.23,127,1,3,2
47,38.5,15,206,0,41.8,79,0.46,879,1,7,3
69,158.74,11,150,0,35.0,40,0.28,407,0,2,1
66,69.45,10,36,0,93.3,91,0.28,1344,1,6,2
30,45.46,8,263,0,98.6,61,0.08,1448,0,4,1
18,167.25,15,341,0,28.8,21,0.03,981,1,0,3
51,119.76,14,4,0,61.0,58,0.45,1786,1,7,2
79,58.5,20,225,0,74.5,96,0.3,32,1,6,3
32,35.83,11,26,0,19.1,32,0.42,1054,2,1,0
61,216.57,13,123,0,68.7,12,0.41,1040,0,0,1
31,70.17,9,298,0,25.8,9,0.22,1708,0,2,0
74,124.26,8,34,0,16.9,20,0.16,659,1,0,0
46,148.82,9,236,0,85.1,15,0.22,901,1,8,3
51,352.1,5,310,0,50.2,77,0.49,1097,2,5,3
35,67.23,14,316,0,29.7,8,0.13,1428,1,2,4
71,61.31,11,302,0,40.5,21,0.28,445,1,6,4
24,93.19,6,101,0,41.3,45,0.26,1800,0,7,2
46,93.19,10,76,0,77.0,89,0.54,1613,1,2,3
72,144.02,17,311,0,88.7,99,0.16,1318,0,9,1
48,39.66,11,81,0,47.6,40,0.39,337,0,8,3
78,121.75,12,145,0,32.3,94,0.4,1649,1,6,3
42,65.19,12,192,0,72.7,95,0.45,1564,1,1,0
55,94.53,13,223,0,90.5,6,0.19,458,1,9,0
31,219.13,12,52,0,11.4,11,0.28,719,0,2,4
25,144.27,14,344,0,79.7,64,0.26,468,0,5,2
44,208.46,9,84,0,55.7,42,0.5,27,1,9,2
71,66.57,11,128,0,86.8,59,0.2,203,1,0,3
19,230.77,5,210,0,51.4,8,0.11,1270,0,2,1
34,165.18,12,351,0,86.3,72,0.51,1225,0,6,0
54,92.56,12,263,0,55.4,55,0.43,592,1,2,1
31,216.55,13,182,0,14.5,39,0.44,559,1,5,0
42,120.2,10,271,0,0.5,51,0.46,1199,1,4,3
73,71.28,10,226,0,62.0,55,0.46,975,0,0,2
47,67.91,9,321,0,59.2,76,0.14,195,2,7,3
46,109.3,11,11,0,21.0,3,0.15,1672,1,2,0
37,130.07,11,92,0,85.1,43,0.42,270,0,5,2
38,150.91,10,329,0,86.8,45,0.43,1741,1,9,1
78,43.4,13,189,0,80.4,80,0.59,621,1,9,1
70,107.58,8,85,0,93.7,91,0.25,1818,1,6,4
39,69.4,9,353,0,50.7,16,0.16,245,0,0,1
52,93.19,7,276,0,70.2,5,0.21,529,0,9,4
54,43.46,11,292,0,90.4,40,0.03,859,0,7,2
33,43.23,7,260,0,45.6,76,0.22,1504,1,4,3
67,30.04,9,197,0,61.8,67,0.26,169,1,4,3
75,98.03,10,322,0,51.3,99,0.12,879,1,6,2
66,199.79,8,9,0,98.3,45,0.43,220,0,2,2
60,22.68,13,87,0,43.8,3,0.32,1414,1,9,0
34,159.8,9,339,0,31.7,31,0.18,1566,0,5,1
33,141.68,8,317,0,63.0,24,0.03,999,1,1,1
75,88.19,6,36,1,28.1,29,0.19,1661,1,4,1
72,154.29,16,222,0,85.8,55,0.23,461,0,3,4
19,160.72,6,174,0,89.2,33,0.11,834,1,6,1
21,127.47,7,208,0,34.5,51,0.38,872,1,2,0
38,145.93,12,48,0,35.8,80,0.21,451,1,8,3
56,107.35,12,23,0,8.7,97,0.25,1255,0,6,3
51,223.09,5,337,0,25.6,74,0.06,380,0,5,4
47,86.36,11,105,0,6.8,30,0.05,1353,1,1,0
23,138.8,17,310,0,75.7,98,0.4,1148,0,3,2
34,114.02,9,262,0,18.0,61,0.2,690,1,4,3
56,58.02,5,205,0,7.9,60,0.19,1093,1,0,0
42,62.37,12,168,0,16.4,35,0.11,701,1,3,2
22,73.61,8,157,0,37.7,7,0.22,1501,0,4,4
22,218.12,11,240,1,42.2,6,0.43,44,1,8,1
37,79.61,5,122,0,89.9,15,0.05,907,1,8,0
33,199.04,10,19,0,28.0,96,0.32,1529,1,4,3
68,107.96,10,55,0,71.8,66,0.29,1342,1,0,4
58,111.55,13,279,0,89.5,96,0.16,496,0,6,0
54,88.69,4,107,0,85.7,92,0.09,680,1,0,4
57,256.53,7,139,0,19.9,85,0.12,1081,1,9,2
26,82.72,11,90,0,28.0,17,0.16,945,0,4,0
22,267.51,8,270,0,5.4,19,0.2,1242,1,4,1
59,19.72,12,328,0,48.3,14,0.21,1760,0,0,2
74,50.63,10,209,0,40.5,49,0.36,1047,0,7,1
19,143.6,7,175,0,54.5,51,0.2,1656,1,7,4
26,181.76,8,60,0,45.8,34,0.18,431,0,5,1
60,143.55,11,283,0,73.6,84,0.1,1431,1,7,2
53,46.78,11,2,0,67.0,21,0.15,389,0,8,2
39,81.26,8,271,0,42.9,48,0.38,823,1,9,2
39,47.94,11,163,0,3.8,67,0.59,459,1,4,4
39,220.81,7,8,0,34.4,58,0.15,1220,0,3,3
51,46.21,5,11,0,32.4,78,0.24,569,0,8,4
72,153.25,9,73,0,8.9,21,0.36,326,2,5,2
46,27.39,10,237,0,50.95,27,0.47,173,0,1,4
55,96.33,7,299,0,98.7,71,0.24,211,1,9,0
76,192.43,6,107,0,82.1,29,0.11,617,1,7,0
63,47.95,7,12,0,80.2,9,0.3,826,1,2,3
50,86.28,13,233,0,84.3,79,0.24,1015,0,6,4
35,69.29,14,244,0,86.5,44,0.35,792,1,3,4
24,80.57,11,320,0,32.5,28,0.7,263,2,4,0
18,56.16,14,91,0,32.2,38,0.53,457,1,1,2
50,102.37,15,359,0,50.95,15,0.43,1236,1,6,1
18,203.85,8,197,0,81.9,15,0.23,1840,1,0,2
41,102.67,13,115,0,50.95,30,0.12,508,0,0,3
21,143.44,11,130,0,1.7,32,0.46,1413,0,9,1
21,98.38,10,364,0,94.9,40,0.32,1074,0,9,2
78,93.19,9,152,0,28.6,76,0.12,1641,1,9,4
35,248.29,13,120,0,62.6,84,0.46,425,0,8,4
44,153.54,8,107,0,64.0,91,0.35,169,1,8,0
60,525.24,9,15,0,11.3,2,0.33,584,0,0,4
76,102.28,14,298,0,69.6,22,0.26,344,0,9,4
49,81.92,9,55,0,53.4,26,0.03,503,1,3,3
50,52.49,11,102,0,61.1,40,0.17,855,0,5,1
45,85.12,8,207,0,44.7,8,0.21,803,0,9,2
59,133.31,9,150,0,80.4,36,0.32,1147,1,4,2
58,75.66,15,261,0,63.5,26,0.08,1064,0,3,3
72,125.99,6,42,0,19.3,81,0.2,1275,1,4,1
53,33.07,3,299,0,75.3,7,0.07,1647,1,2,4
77,186.1,13,117,0,50.3,1,0.18,612,1,0,3
23,49.0,9,335,0,3.7,91,0.55,295,1,9,4
79,81.9,5,278,0,39.5,90,0.7,1652,0,7,2
33,58.21,9,143,0,40.2,32,0.15,398,1,6,3
51,142.83,7,227,1,80.1,78,0.36,1390,0,9,3
40,96.2,9,203,0,23.4,83,0.28,1398,1,5,3
67,164.44,11,228,0,45.3,9,0.26,221,2,2,2
59,131.4,11,264,0,5.4,59,0.06,108,0,9,2
41,118.56,7,136,0,88.1,44,0.45,80,0,6,0
73,57.87,14,239,1,44.4,65,0.09,1062,1,6,2
66,168.12,12,185,0,85.7,21,0.04,904,1,8,2
30,76.83,11,314,0,67.7,20,0.25,1283,1,5,4
73,94.98,9,150,0,32.0,49,0.2,1789,0,5,2
35,177.45,8,324,0,71.3,97,0.36,32,0,3,1
71,53.77,13,290,0,46.9,33,0.31,433,1,7,4
30,99.94,10,352,0,34.1,18,0.14,1508,1,5,0
66,111.71,7,109,0,66.8,41,0.23,729,0,2,1
54,213.44,9,39,0,77.4,17,0.16,1261,1,7,0
60,72.69,10,141,0,68.9,13,0.54,1389,0,8,3
56,41.08,7,339,0,46.3,43,0.52,1518,0,5,3
78,235.3,9,12,0,25.9,73,0.32,1764,0,8,3
59,124.9,7,52,0,81.0,65,0.58,282,1,6,2
34,162.07,11,79,0,34.7,23,0.19,543,1,9,2
32,118.56,9,232,0,61.3,40,0.17,588,0,5,4
35,125.24,14,350,0,11.5,34,0.21,90,2,6,1
40,119.79,15,38,0,74.0,36,0.2,1773,1,9,1
71,206.68,11,226,0,95.3,50,0.44,1414,1,9,3
68,273.29,11,339,0,44.9,78,0.24,483,0,6,3
47,76.17,16,120,0,54.8,85,0.26,352,2,4,2
75,114.34,7,64,0,89.9,85,0.75,458,0,7,0
51,80.0,13,295,0,79.5,92,0.02,1671,2,4,1
75,24.61,5,204,0,96.2,96,0.37,1525,1,0,1
21,112.77,6,134,0,50.95,30,0.04,1655,1,1,0
20,204.65,9,44,0,47.0,40,0.49,1074,0,9,1
24,94.55,13,277,0,45.6,12,0.37,1699,0,3,1
73,61.73,9,134,0,47.3,93,0.05,781,1,7,2
35,112.98,9,51,1,91.3,1,0.14,924,1,9,1
59,122.89,15,228,0,20.6,90,0.36,1813,0,2,3
24,110.06,9,355,0,89.5,16,0.36,921,1,3,3
57,105.8,12,67,0,57.1,82,0.11,663,1,0,4
23,93.19,11,197,0,53.7,97,0.34,304,0,0,2
39,66.13,13,66,0,41.6,50,0.09,44,0,2,2
75,43.91,13,2,0,54.0,43,0.31,1432,0,6,3
18,83.66,8,57,0,80.3,87,0.16,1430,1,7,2
21,256.51,8,255,0,49.2,60,0.56,844,0,8,2
63,79.09,4,355,0,77.6,5,0.21,1115,0,7,4
66,32.68,7,264,0,41.7,21,0.07,314,0,3,0
69,89.98,5,15,0,18.3,65,0.27,607,0,4,1
67,124.96,17,267,0,41.5,95,0.24,351,1,8,4
60,137.6,10,101,0,72.3,82,0.58,476,1,0,0
46,213.51,9,286,0,85.2,21,0.45,450,1,0,1
38,100.44,10,221,0,77.2,71,0.29,376,1,6,3
43,121.16,9,20,0,37.4,65,0.09,1482,0,1,0
31,107.33,7,20,0,57.9,23,0.3,1731,0,7,1
26,274.81,11,91,0,36.0,91,0.07,427,0,6,4
76,354.59,12,283,0,70.4,60,0.4,693,0,3,1
64,71.29,12,132,0,43.6,2,0.32,1056,1,8,2
29,148.72,13,326,0,76.5,34,0.09,269,1,2,1
59,256.98,11,328,0,1.3,57,0.36,400,1,9,3
68,188.19,6,174,0,34.0,16,0.66,1301,1,4,4
73,41.95,8,212,0,87.8,74,0.54,737,1,3,0
68,122.54,7,147,0,32.4,84,0.13,1399,0,9,1
23,98.46,9,231,0,39.5,48,0.46,950,2,7,4
37,543.3,11,164,0,79.1,25,0.36,1110,1,2,3
41,151.22,4,313,0,9.5,68,0.42,39,1,0,0
44,17.05,9,144,0,50.95,32,0.44,1760,0,6,1
55,88.6,14,297,0,50.95,45,0.27,1433,1,8,3
25,67.2,12,222,0,95.7,92,0.07,215,0,6,2
18,69.69,11,352,0,78.3,40,0.23,302,0,8,4
71,62.09,10,61,0,50.95,13,0.23,202,2,1,4
66,179.38,17,95,0,83.5,5,0.66,1043,1,1,1
66,32.32,7,111,0,47.6,17,0.1,1100,0,6,3
41,142.37,16,86,0,78.3,71,0.37,1040,0,8,0
64,123.92,8,254,0,23.9,10,0.25,1541,0,8,0
24,173.18,9,112,0,34.1,91,0.26,559,1,9,0
36,114.79,12,253,0,90.2,59,0.22,1002,1,6,0
39,31.04,11,347,0,91.1,35,0.5,470,0,5,1
74,98.54,10,321,0,28.5,23,0.15,730,0,7,1
72,79.68,11,31,0,8.4,56,0.2,1484,0,0,4
77,167.31,8,63,0,92.9,16,0.45,868,0,1,3
52,61.31,9,153,0,30.0,52,0.12,1508,0,5,2
79,94.02,11,4,0,12.0,27,0.18,1801,1,1,1
47,123.77,10,329,0,34.8,15,0.09,602,0,2,0
46,210.65,13,209,0,28.2,62,0.54,562,0,1,2
39,54.42,5,91,0,8.1,6,0.08,1504,0,3,4
28,198.93,11,221,0,98.4,24,0.09,580,2,1,0
37,150.98,9,189,0,29.4,87,0.25,793,1,9,3
79,109.29,8,59,0,27.2,5,0.1,1110,0,5,2
46,48.01,4,204,0,42.0,71,0.4,1308,1,2,4
68,106.14,11,211,0,41.5,86,0.44,125,1,8,1
58,34.27,12,257,0,43.4,93,0.14,1841,0,8,3
59,93.19,13,88,0,90.7,53,0.38,119,1,2,0
51,134.44,9,235,0,6.0,31,0.22,501,0,4,2
18,267.61,17,362,0,94.2,35,0.38,1501,1,6,4
48,117.96,7,331,0,66.6,98,0.5,798,1,4,2
47,38.23,9,195,1,50.95,19,0.15,747,0,5,3
65,67.78,12,331,0,15.8,34,0.21,441,0,1,1
35,46.97,11,182,0,32.9,94,0.2,45,2,8,1
72,135.25,8,250,0,5.2,83,0.25,207,0,9,3
75,167.14,14,223,0,65.3,82,0.41,1811,0,4,0
34,33.53,5,170,0,34.0,1,0.11,1367,1,1,2
55,65.6,11,197,0,55.1,41,0.29,129,1,0,0
31,461.53,11,248,0,75.3,53,0.24,1031,1,6,4
40,64.68,8,180,0,55.4,80,0.71,423,0,2,0
42,97.45,7,276,0,7.1,64,0.34,876,0,1,3
32,95.26,4,274,0,6.2,40,0.43,449,1,6,1
63,81.9,9,160,0,86.7,62,0.19,1511,0,6,3
73,120.43,9,247,0,26.2,55,0.26,1824,0,8,3
39,119.19,9,318,0,36.2,92,0.15,258,1,8,2
20,104.24,12,187,0,21.8,11,0.32,932,1,5,3
73,209.58,8,18,0,69.9,52,0.73,1672,0,0,4
72,224.8,6,243,0,38.6,96,0.22,1696,0,2,2
36,150.84,5,112,0,45.6,26,0.34,326,0,6,2
74,94.58,7,277,0,67.4,74,0.51,1235,1,5,0
61,71.82,13,50,0,62.3,87,0.08,1291,2,3,3
51,87.55,12,343,0,77.4,48,0.35,1742,1,4,0
52,134.24,14,122,0,74.9,45,0.39,406,1,7,0
67,85.92,12,237,0,44.0,33,0.29,721,2,6,2
78,221.97,12,318,0,19.2,64,0.16,1062,1,5,0
18,45.42,11,61,0,22.3,78,0.27,1344,0,0,0
69,117.92,8,73,0,70.7,9,0.17,267,1,8,2
38,44.54,17,244,0,26.1,78,0.61,577,0,6,2
